agence,effectif,nb_gestionnaires,nb_clients,total_comptes,production_credits,collecte_epargne,taux_presence
Agence 40,24,7,256,597,432.7,255.8,0.813
Agence 26,24,7,193,468,367.5,280.2,0.848
Agence 27,21,6,179,499,327.4,177.0,0.792
Agence 44,16,5,153,266,264.4,152.4,0.838
Agence 36,17,5,117,301,313.6,241.0,0.799
Agence 42,19,6,153,373,268.6,182.9,0.831
Agence 05,120,37,1191,2292,1688.7,1062.9,0.932
Agence 13,46,14,352,930,736.7,493.4,0.933
Agence 09,54,15,388,1191,644.0,512.8,0.916
Agence 04,107,35,840,2036,1534.7,1147.9,0.923
Agence 07,107,34,867,2192,1773.1,1103.6,0.934
Agence 25,22,6,166,469,317.3,185.3,0.795
Agence 33,23,7,240,564,314.5,224.2,0.789
Agence 20,54,18,384,1122,895.1,693.8,1.0
Agence 18,54,15,441,1108,943.6,604.1,0.922
Agence 14,55,16,438,899,684.4,449.9,0.875
Agence 43,24,8,134,460,361.7,245.9,0.827
Agence 16,54,15,418,1188,646.3,576.6,0.918
Agence 10,61,18,529,1167,859.8,679.8,0.903
Agence 17,51,16,413,965,790.2,514.0,0.966
Agence 38,21,6,145,419,312.1,221.9,0.821
Agence 32,28,8,209,553,437.6,290.5,0.802
Agence 28,30,9,232,567,521.9,250.2,0.809
Agence 01,119,35,1029,2619,1363.1,970.2,0.914
Agence 31,27,8,214,505,384.2,304.1,0.859
Agence 30,26,7,203,464,327.5,224.3,0.828
Agence 06,129,36,931,2338,2078.8,1419.2,0.929
Agence 12,57,18,442,1203,790.8,543.6,0.897
Agence 34,21,6,187,380,285.3,144.3,0.834
Agence 02,111,31,804,2439,1823.8,1122.3,0.949
Agence 41,19,6,153,391,220.0,209.6,0.856
Agence 22,55,18,447,1078,720.8,420.1,0.893
Agence 03,121,34,1005,2158,1999.9,1197.7,0.904
Agence 35,19,6,187,353,251.7,185.0,0.778
Agence 24,20,6,146,439,268.8,227.2,0.853
Agence 37,22,6,206,384,313.4,238.7,0.855
Agence 11,46,13,328,966,698.7,502.2,0.895
Agence 23,56,17,451,1232,783.6,463.5,0.876
Agence 19,68,21,503,1216,968.1,546.6,0.932
Agence 45,19,5,172,400,340.4,218.9,0.855
Agence 21,59,18,361,1221,802.9,558.7,0.889
Agence 08,57,18,484,950,815.6,528.2,0.888
Agence 15,59,18,453,1353,850.0,653.1,0.877
Agence 29,26,8,204,502,399.1,306.1,0.843
Agence 39,25,8,203,517,375.7,248.9,0.815
